Rank;Title;Genre;Actors
30;Assassin's Creed;Action,Adventure,Drama;Michael Fassbender| Marion Cotillard| Jeremy Irons|Brendan Gleeson
31;Why Him?;Comedy;Zoey Deutch| James Franco| Tangie Ambrose|Cedric the Entertainer
32;Nocturnal Animals;Drama,Thriller;Amy Adams| Jake Gyllenhaal| Michael Shannon| Aaron Taylor-Johnson
33;X-Men: Apocalypse;Action,Adventure,Sci-Fi;James McAvoy| Michael Fassbender| Jennifer Lawrence| Nicholas Hoult
34;Deadpool;Action,Adventure,Comedy;Ryan Reynolds| Morena Baccarin| T.J. Miller| Ed Skrein
35;Resident Evil: The Final Chapter;Action,Horror,Sci-Fi;Milla Jovovich| Iain Glen| Ali Larter| Shawn Roberts
36;Captain America: Civil War;Action,Adventure,Sci-Fi;Chris Evans| Robert Downey Jr.|Scarlett Johansson| Sebastian Stan
37;Interstellar;Adventure,Drama,Sci-Fi;Matthew McConaughey| Anne Hathaway| Jessica Chastain| Mackenzie Foy
38;Doctor Strange;Action,Adventure,Fantasy;Benedict Cumberbatch| Chiwetel Ejiofor| Rachel McAdams| Benedict Wong
39;The Magnificent Seven;Action,Adventure,Western;Denzel Washington| Chris Pratt| Ethan Hawke|Vincent D'Onofrio
40;5- 25- 77;Comedy,Drama;John Francis Daley| Austin Pendleton| Colleen Camp| Neil Flynn
41;Sausage Party;Animation,Adventure,Comedy;Seth Rogen| Kristen Wiig| Jonah Hill| Alistair Abell
42;Moonlight;Drama;Mahershala Ali| Shariff Earp| Duan Sanderson| Alex R. Hibbert
43;Don't Fuck in the Woods;Horror;Brittany Blanton| Ayse Howard| Roman Jossart|Nadia White
44;The Founder;Biography,Drama,History;Michael Keaton| Nick Offerman| John Carroll Lynch| Linda Cardellini
45;Lowriders;Drama;Gabriel Chavarria| Demián Bichir| Theo Rossi|Tony Revolori
46;Pirates of the Caribbean: On Stranger Tides;Action,Adventure,Fantasy;Johnny Depp| Penélope Cruz| Ian McShane| Geoffrey Rush
47;Miss Sloane;Drama,Thriller;Jessica Chastain| Mark Strong| Gugu Mbatha-Raw|Michael Stuhlbarg
48;Fallen;Adventure,Drama,Fantasy;Hermione Corfield| Addison Timlin| Joely Richardson|Jeremy Irvine
49;Star Trek Beyond;Action,Adventure,Sci-Fi;Chris Pine| Zachary Quinto| Karl Urban| Zoe Saldana
50;The Last Face;Drama;Charlize Theron| Javier Bardem| Adèle Exarchopoulos|Jared Harris
51;Star Wars: Episode VII - The Force Awakens;Action,Adventure,Fantasy;Daisy Ridley| John Boyega| Oscar Isaac| Domhnall Gleeson
52;Underworld: Blood Wars;Action,Adventure,Fantasy;Kate Beckinsale| Theo James| Tobias Menzies| Lara Pulver
53;Mother's Day;Comedy,Drama;Jennifer Aniston| Kate Hudson| Julia Roberts| Jason Sudeikis
54;John Wick;Action,Crime,Thriller;Keanu Reeves| Michael Nyqvist| Alfie Allen| Willem Dafoe
55;The Dark Knight;Action,Crime,Drama;Christian Bale| Heath Ledger| Aaron Eckhart|Michael Caine
56;Silence;Adventure,Drama,History;Andrew Garfield| Adam Driver| Liam Neeson|Tadanobu Asano
57;Don't Breathe;Crime,Horror,Thriller;Stephen Lang| Jane Levy| Dylan Minnette| Daniel Zovatto
58;Me Before You;Drama,Romance;Emilia Clarke| Sam Claflin| Janet McTeer| Charles Dance
59;Their Finest;Comedy,Drama,Romance;Gemma Arterton| Sam Claflin| Bill Nighy| Jack Huston
60;Sully;Biography,Drama;Tom Hanks| Aaron Eckhart| Laura Linney| Valerie Mahaffey
61;Batman v Superman: Dawn of Justice;Action,Adventure,Sci-Fi;Ben Affleck| Henry Cavill| Amy Adams| Jesse Eisenberg
62;The Autopsy of Jane Doe;Horror,Mystery,Thriller;Brian Cox| Emile Hirsch| Ophelia Lovibond| Michael McElhatton
63;The Girl on the Train;Crime,Drama,Mystery;Emily Blunt| Haley Bennett| Rebecca Ferguson| Justin Theroux
64;Fifty Shades of Grey;Drama,Romance,Thriller;Dakota Johnson| Jamie Dornan| Jennifer Ehle|Eloise Mumford
65;The Prestige;Drama,Mystery,Sci-Fi;Christian Bale| Hugh Jackman| Scarlett Johansson| Michael Caine
66;Kingsman: The Secret Service;Action,Adventure,Comedy;Colin Firth| Taron Egerton| Samuel L. Jackson|Michael Caine
67;Patriots Day;Drama,History,Thriller;Mark Wahlberg| Michelle Monaghan| J.K. Simmons| John Goodman
68;Mad Max: Fury Road;Action,Adventure,Sci-Fi;Tom Hardy| Charlize Theron| Nicholas Hoult| Zoë Kravitz
69;Wakefield;Drama;Bryan Cranston| Jennifer Garner| Beverly D'Angelo|Jason O'Mara
70;Deepwater Horizon;Action,Drama,Thriller;Mark Wahlberg| Kurt Russell| Douglas M. Griffin| James DuMont
71;The Promise;Drama,History;Oscar Isaac| Charlotte Le Bon| Christian Bale| Daniel Giménez Cacho
72;Allied;Action,Drama,Romance;Brad Pitt| Marion Cotillard| Jared Harris| Vincent Ebrahim
73;A Monster Calls;Drama,Fantasy;Lewis MacDougall| Sigourney Weaver| Felicity Jones|Toby Kebbell
74;Collateral Beauty;Drama,Romance;Will Smith| Edward Norton| Kate Winslet| Michael Peña
75;Zootopia;Animation,Adventure,Comedy;Ginnifer Goodwin| Jason Bateman| Idris Elba| Jenny Slate
76;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;Johnny Depp| Orlando Bloom| Keira Knightley|Geoffrey Rush
77;The Avengers;Action,Sci-Fi;Robert Downey Jr.| Chris Evans| Scarlett Johansson|Jeremy Renner
78;Inglourious Basterds;Adventure,Drama,War;Brad Pitt| Diane Kruger| Eli Roth|Mélanie Laurent
79;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;Johnny Depp| Orlando Bloom| Keira Knightley| Jack Davenport
80;Ghostbusters;Action,Comedy,Fantasy;Melissa McCarthy| Kristen Wiig| Kate McKinnon| Leslie Jones
81;Inception;Action,Adventure,Sci-Fi;Leonardo DiCaprio| Joseph Gordon-Levitt| Ellen Page| Ken Watanabe
82;Captain Fantastic;Comedy,Drama;Viggo Mortensen| George MacKay| Samantha Isler|Annalise Basso
83;The Wolf of Wall Street;Biography,Comedy,Crime;Leonardo DiCaprio| Jonah Hill| Margot Robbie|Matthew McConaughey
84;Gone Girl;Crime,Drama,Mystery;Ben Affleck| Rosamund Pike| Neil Patrick Harris|Tyler Perry
85;Furious Seven;Action,Crime,Thriller;Vin Diesel| Paul Walker| Dwayne Johnson| Jason Statham
86;Jurassic World;Action,Adventure,Sci-Fi;Chris Pratt| Bryce Dallas Howard| Ty Simpkins|Judy Greer
87;Live by Night;Crime,Drama;Ben Affleck| Elle Fanning| Brendan Gleeson| Chris Messina
88;Avatar;Action,Adventure,Fantasy;Sam Worthington| Zoe Saldana| Sigourney Weaver| Michelle Rodriguez
89;The Hateful Eight;Crime,Drama,Mystery;Samuel L. Jackson| Kurt Russell| Jennifer Jason Leigh| Walton Goggins
90;The Accountant;Action,Crime,Drama;Ben Affleck| Anna Kendrick| J.K. Simmons| Jon Bernthal
91;Prisoners;Crime,Drama,Mystery;Hugh Jackman| Jake Gyllenhaal| Viola Davis|Melissa Leo
92;Warcraft;Action,Adventure,Fantasy;Travis Fimmel| Paula Patton| Ben Foster| Dominic Cooper
93;The Help;Drama;Emma Stone| Viola Davis| Octavia Spencer| Bryce Dallas Howard
94;War Dogs;Comedy,Crime,Drama;Jonah Hill| Miles Teller| Steve Lantz| Gregg Weiner
95;Avengers: Age of Ultron;Action,Adventure,Sci-Fi;Robert Downey Jr.| Chris Evans| Mark Ruffalo| Chris Hemsworth
96;The Nice Guys;Action,Comedy,Crime;Russell Crowe| Ryan Gosling| Angourie Rice| Matt Bomer
97;Kimi no na wa;Animation,Drama,Fantasy;Ryûnosuke Kamiki| Mone Kamishiraishi| Ryô Narita| Aoi Yuki
98;The Void;Horror,Mystery,Sci-Fi;Aaron Poole| Kenneth Welsh|Daniel Fathers| Kathleen Munroe
99;Personal Shopper;Drama,Mystery,Thriller;Kristen Stewart| Lars Eidinger| Sigrid Bouaziz|Anders Danielsen Lie
100;The Departed;Crime,Drama,Thriller;Leonardo DiCaprio| Matt Damon| Jack Nicholson| Mark Wahlberg
101;Legend;Biography,Crime,Drama;Tom Hardy| Emily Browning| Taron Egerton| Paul Anderson
102;Thor;Action,Adventure,Fantasy;Chris Hemsworth| Anthony Hopkins| Natalie Portman| Tom Hiddleston
103;The Martian;Adventure,Drama,Sci-Fi;Matt Damon| Jessica Chastain| Kristen Wiig| Kate Mara
104;Contratiempo;Crime,Mystery,Thriller;Mario Casas| Ana Wagener| José Coronado| Bárbara Lennie
105;The Man from U.N.C.L.E.;Action,Adventure,Comedy;Henry Cavill| Armie Hammer| Alicia Vikander| Elizabeth Debicki
106;Hell or High Water;Crime,Drama,Thriller;Chris Pine| Ben Foster| Jeff Bridges| Gil Birmingham
107;The Comedian;Comedy;Robert De Niro| Leslie Mann| Danny DeVito| Edie Falco
108;The Legend of Tarzan;Action,Adventure,Drama;Alexander Skarsgård| Rory J. Saper| Christian Stevens| Christoph Waltz
109;All We Had;Drama;Eve Lindley| Richard Kind| Mark Consuelos| Katherine Reis
110;Ex Machina;Drama,Mystery,Sci-Fi;Alicia Vikander| Domhnall Gleeson| Oscar Isaac|Sonoya Mizuno
111;The Belko Experiment;Action,Horror,Thriller;John Gallagher Jr.| Tony Goldwyn| Adria Arjona| John C. McGinley
112;12 Years a Slave;Biography,Drama,History;Chiwetel Ejiofor| Michael Kenneth Williams| Michael Fassbender| Brad Pitt
113;The Bad Batch;Romance,Sci-Fi;Keanu Reeves| Jason Momoa| Jim Carrey| Diego Luna
114;300;Action,Fantasy,War;Gerard Butler| Lena Headey| David Wenham| Dominic West
115;Harry Potter and the Deathly Hallows: Part 2;Adventure,Drama,Fantasy;Daniel Radcliffe| Emma Watson| Rupert Grint| Michael Gambon
116;Office Christmas Party;Comedy;Jason Bateman| Olivia Munn| T.J. Miller|Jennifer Aniston
117;The Neon Demon;Horror,Thriller;Elle Fanning| Christina Hendricks| Keanu Reeves| Karl Glusman
118;Dangal;Action,Biography,Drama;Aamir Khan| Sakshi Tanwar| Fatima Sana Shaikh|Sanya Malhotra
119;10 Cloverfield Lane;Drama,Horror,Mystery;John Goodman| Mary Elizabeth Winstead| John Gallagher Jr.| Douglas M. Griffin
120;Finding Dory;Animation,Adventure,Comedy;Ellen DeGeneres| Albert Brooks|Ed O'Neill| Kaitlin Olson
121;Miss Peregrine's Home for Peculiar Children;Adventure,Drama,Family;Eva Green| Asa Butterfield| Samuel L. Jackson| Judi Dench
122;Divergent;Adventure,Mystery,Sci-Fi;Shailene Woodley| Theo James| Kate Winslet| Jai Courtney
123;Mike and Dave Need Wedding Dates;Adventure,Comedy,Romance;Zac Efron| Adam Devine| Anna Kendrick| Aubrey Plaza
124;Boyka: Undisputed IV;Action;Scott Adkins| Teodora Duhovnikova| Alon Aboutboul| Julian Vergov
125;The Dark Knight Rises;Action,Thriller;Christian Bale| Tom Hardy| Anne Hathaway|Gary Oldman
126;The Jungle Book;Adventure,Drama,Family;Neel Sethi| Bill Murray| Ben Kingsley| Idris Elba
127;Transformers: Age of Extinction;Action,Adventure,Sci-Fi;Mark Wahlberg| Nicola Peltz| Jack Reynor| Stanley Tucci
128;Nerve;Adventure,Crime,Mystery;Emma Roberts| Dave Franco| Emily Meade| Miles Heizer
129;Mamma Mia!;Comedy,Family,Musical;Meryl Streep| Pierce Brosnan| Amanda Seyfried|Stellan Skarsgård
130;The Revenant;Adventure,Drama,Thriller;Leonardo DiCaprio| Tom Hardy| Will Poulter| Domhnall Gleeson
131;Fences;Drama;Denzel Washington| Viola Davis| Stephen Henderson| Jovan Adepo
132;Into the Woods;Adventure,Comedy,Drama;Anna Kendrick| Meryl Streep| Chris Pine| Emily Blunt
133;The Shallows;Drama,Horror,Thriller;Blake Lively| Óscar Jaenada| Angelo Josue Lozano Corzo| Brett Cullen
134;Whiplash;Drama,Music;Miles Teller| J.K. Simmons| Melissa Benoist| Paul Reiser
135;Furious 6;Action,Crime,Thriller;Vin Diesel| Paul Walker| Dwayne Johnson| Michelle Rodriguez
136;The Place Beyond the Pines;Crime,Drama,Thriller;Ryan Gosling| Bradley Cooper| Eva Mendes|Craig Van Hook
137;No Country for Old Men;Crime,Drama,Thriller;Tommy Lee Jones| Javier Bardem| Josh Brolin| Woody Harrelson
138;The Great Gatsby;Drama,Romance;Leonardo DiCaprio| Carey Mulligan| Joel Edgerton|Tobey Maguire
139;Shutter Island;Mystery,Thriller;Leonardo DiCaprio| Emily Mortimer| Mark Ruffalo|Ben Kingsley
140;Brimstone;Mystery,Thriller,Western;Dakota Fanning| Guy Pearce| Kit Harington|Carice van Houten
141;Star Trek;Action,Adventure,Sci-Fi;Chris Pine| Zachary Quinto| Simon Pegg| Leonard Nimoy
142;Diary of a Wimpy Kid;Comedy,Family;Zachary Gordon| Robert Capron| Rachael Harris|Steve Zahn
143;The Big Short;Biography,Comedy,Drama;Christian Bale| Steve Carell| Ryan Gosling| Brad Pitt
144;Room;Drama;Brie Larson| Jacob Tremblay| Sean Bridgers|Wendy Crewson
145;Django Unchained;Drama,Western;Jamie Foxx| Christoph Waltz| Leonardo DiCaprio|Kerry Washington
146;Ah-ga-ssi;Drama,Mystery,Romance;Min-hee Kim| Jung-woo Ha| Jin-woong Jo| So-ri Moon
147;The Edge of Seventeen;Comedy,Drama;Hailee Steinfeld| Haley Lu Richardson| Blake Jenner| Kyra Sedgwick
148;Watchmen;Action,Drama,Mystery;Jackie Earle Haley| Patrick Wilson| Carla Gugino|Malin Akerman
149;Superbad;Comedy;Michael Cera| Jonah Hill| Christopher Mintz-Plasse| Bill Hader
150;Inferno;Action,Adventure,Crime;Tom Hanks| Felicity Jones| Irrfan Khan| Ben Foster
151;The BFG;Adventure,Family,Fantasy;Mark Rylance| Ruby Barnhill| Penelope Wilton|Jemaine Clement
152;The Hunger Games;Adventure,Sci-Fi,Thriller;Jennifer Lawrence| Josh Hutcherson| Liam Hemsworth|Stanley Tucci
153;White Girl;Drama;Morgan Saylor| Brian Marc| Justin Bartha| Adrian Martinez
154;Sicario;Action,Crime,Drama;Emily Blunt| Josh Brolin| Benicio Del Toro| Jon Bernthal
155;Twin Peaks: The Missing Pieces;Drama,Horror,Mystery;Chris Isaak| Kiefer Sutherland| C.H. Evans| Sandra Kinder
156;Aliens vs Predator - Requiem;Action,Horror,Sci-Fi;Reiko Aylesworth| Steven Pasquale|Shareeka Epps| John Ortiz
157;Pacific Rim;Action,Adventure,Sci-Fi;Idris Elba| Charlie Hunnam| Rinko Kikuchi|Charlie Day
158;Crazy, Stupid, Love.;Comedy,Drama,Romance;Steve Carell| Ryan Gosling| Julianne Moore| Emma Stone
159;Scott Pilgrim vs. the World;Action,Comedy,Fantasy;Michael Cera| Mary Elizabeth Winstead| Kieran Culkin| Alison Pill
160;Hot Fuzz;Action,Comedy,Mystery;Simon Pegg| Nick Frost| Martin Freeman| Bill Nighy
161;Mine;Thriller,War;Armie Hammer| Annabelle Wallis|Tom Cullen| Clint Dyer
162;Free Fire;Action,Comedy,Crime;Sharlto Copley| Brie Larson| Armie Hammer| Cillian Murphy
163;X-Men: Days of Future Past;Action,Adventure,Sci-Fi;Patrick Stewart| Ian McKellen| Hugh Jackman| James McAvoy
164;Jack Reacher: Never Go Back;Action,Adventure,Crime;Tom Cruise| Cobie Smulders| Aldis Hodge| Robert Knepper
165;Casino Royale;Action,Adventure,Thriller;Daniel Craig| Eva Green| Judi Dench| Jeffrey Wright
166;Twilight;Drama,Fantasy,Romance;Kristen Stewart| Robert Pattinson| Billy Burke|Sarah Clarke
167;Now You See Me 2;Action,Adventure,Comedy;Jesse Eisenberg| Mark Ruffalo| Woody Harrelson| Dave Franco
168;Woman in Gold;Biography,Drama,History;Helen Mirren| Ryan Reynolds| Daniel Brühl| Katie Holmes
169;13 Hours;Action,Drama,History;John Krasinski| Pablo Schreiber| James Badge Dale|David Denman
170;Spectre;Action,Adventure,Thriller;Daniel Craig| Christoph Waltz| Léa Seydoux| Ralph Fiennes
171;Nightcrawler;Crime,Drama,Thriller;Jake Gyllenhaal| Rene Russo| Bill Paxton| Riz Ahmed
172;Kubo and the Two Strings;Animation,Adventure,Family;Charlize Theron| Art Parkinson| Matthew McConaughey| Ralph Fiennes
173;Beyond the Gates;Adventure,Horror;Graham Skipper| Chase Williamson| Brea Grant|Barbara Crampton
174;Her;Drama,Romance,Sci-Fi;Joaquin Phoenix| Amy Adams| Scarlett Johansson|Rooney Mara
175;Frozen;Animation,Adventure,Comedy;Kristen Bell| Idina Menzel| Jonathan Groff| Josh Gad
176;Tomorrowland;Action,Adventure,Family;George Clooney| Britt Robertson| Hugh Laurie| Raffey Cassidy
177;Dawn of the Planet of the Apes;Action,Adventure,Drama;Gary Oldman| Keri Russell| Andy Serkis| Kodi Smit-McPhee
178;Tropic Thunder;Action,Comedy;Ben Stiller| Jack Black| Robert Downey Jr.| Jeff Kahn
179;The Conjuring 2;Horror,Mystery,Thriller;Vera Farmiga| Patrick Wilson| Madison Wolfe| Frances O'Connor
180;Ant-Man;Action,Adventure,Comedy;Paul Rudd| Michael Douglas| Corey Stoll| Evangeline Lilly
181;Bridget Jones's Baby;Comedy,Romance;Renée Zellweger| Gemma Jones| Jim Broadbent|Sally Phillips
182;The VVitch: A New-England Folktale;Horror,Mystery;Anya Taylor-Joy| Ralph Ineson| Kate Dickie| Julian Richings
183;Cinderella;Drama,Family,Fantasy;Lily James| Cate Blanchett| Richard Madden|Helena Bonham Carter
184;Realive;Sci-Fi;Tom Hughes| Charlotte Le Bon| Oona Chaplin| Barry Ward
185;Forushande;Drama,Thriller;Taraneh Alidoosti| Shahab Hosseini| Babak Karimi|Farid Sajjadi Hosseini
186;Love;Drama,Romance;Aomi Muyock| Karl Glusman| Klara Kristin| Juan Saavedra
187;Billy Lynn's Long Halftime Walk;Drama,War;Joe Alwyn| Garrett Hedlund| Arturo Castro| Mason Lee
188;Crimson Peak;Drama,Fantasy,Horror;Mia Wasikowska| Jessica Chastain| Tom Hiddleston| Charlie Hunnam
189;Drive;Crime,Drama;Ryan Gosling| Carey Mulligan| Bryan Cranston| Albert Brooks
190;Trainwreck;Comedy,Drama,Romance;Amy Schumer| Bill Hader| Brie Larson| Colin Quinn
191;The Light Between Oceans;Drama,Romance;Michael Fassbender| Alicia Vikander| Rachel Weisz| Florence Clery
192;Below Her Mouth;Drama;Erika Linder| Natalie Krill| Sebastian Pigott| Mayko Nguyen
193;Spotlight;Crime,Drama,History;Mark Ruffalo| Michael Keaton| Rachel McAdams| Liev Schreiber
194;Morgan;Horror,Sci-Fi,Thriller;Kate Mara| Anya Taylor-Joy| Rose Leslie| Michael Yare
195;Warrior;Action,Drama,Sport;Tom Hardy| Nick Nolte| Joel Edgerton| Jennifer Morrison
196;Captain America: The First Avenger;Action,Adventure,Sci-Fi;Chris Evans| Hugo Weaving| Samuel L. Jackson|Hayley Atwell
197;Hacker;Crime,Drama,Thriller;Callan McAuliffe| Lorraine Nicholson| Daniel Eric Gold| Clifton Collins Jr.
198;Into the Wild;Adventure,Biography,Drama;Emile Hirsch| Vince Vaughn| Catherine Keener| Marcia Gay Harden
199;The Imitation Game;Biography,Drama,Thriller;Benedict Cumberbatch| Keira Knightley| Matthew Goode| Allen Leech
200;Central Intelligence;Action,Comedy,Crime;Dwayne Johnson| Kevin Hart| Danielle Nicolet| Amy Ryan
201;Edge of Tomorrow;Action,Adventure,Sci-Fi;Tom Cruise| Emily Blunt| Bill Paxton| Brendan Gleeson
202;A Cure for Wellness;Drama,Fantasy,Horror;Dane DeHaan| Jason Isaacs| Mia Goth| Ivo Nandi
203;Snowden;Biography,Drama,Thriller;Joseph Gordon-Levitt| Shailene Woodley| Melissa Leo|Zachary Quinto
204;Iron Man;Action,Adventure,Sci-Fi;Robert Downey Jr.| Gwyneth Paltrow| Terrence Howard| Jeff Bridges
205;Allegiant;Action,Adventure,Mystery;Shailene Woodley| Theo James| Jeff Daniels|Naomi Watts
206;X: First Class;Action,Adventure,Sci-Fi;James McAvoy| Michael Fassbender| Jennifer Lawrence| Kevin Bacon
207;Raw (II);Drama,Horror;Garance Marillier| Ella Rumpf| Rabah Nait Oufella|Laurent Lucas
208;Paterson;Comedy,Drama,Romance;Adam Driver| Golshifteh Farahani| Nellie| Rizwan Manji
209;Bridesmaids;Comedy,Romance;Kristen Wiig| Maya Rudolph| Rose Byrne| Terry Crews
210;The Girl with All the Gifts;Drama,Horror,Thriller;Gemma Arterton| Glenn Close| Dominique Tipper|Paddy Considine
211;San Andreas;Action,Adventure,Drama;Dwayne Johnson| Carla Gugino| Alexandra Daddario|Colton Haynes
212;Spring Breakers;Drama;Vanessa Hudgens| Selena Gomez| Ashley Benson|Rachel Korine
213;Transformers;Action,Adventure,Sci-Fi;Shia LaBeouf| Megan Fox| Josh Duhamel| Tyrese Gibson
214;Old Boy;Action,Drama,Mystery;Josh Brolin| Elizabeth Olsen| Samuel L. Jackson| Sharlto Copley
215;Thor: The Dark World;Action,Adventure,Fantasy;Chris Hemsworth| Natalie Portman| Tom Hiddleston|Stellan Skarsgård
216;Gods of Egypt;Action,Adventure,Fantasy;Brenton Thwaites| Nikolaj Coster-Waldau| Gerard Butler| Chadwick Boseman
217;Captain America: The Winter Soldier;Action,Adventure,Sci-Fi;Chris Evans| Samuel L. Jackson|Scarlett Johansson| Robert Redford
218;Monster Trucks;Action,Adventure,Comedy;Lucas Till| Jane Levy| Thomas Lennon| Barry Pepper
219;A Dark Song;Drama,Horror;Mark Huberman| Susan Loughnane| Steve Oram|Catherine Walker
220;Kick-Ass;Action,Comedy;Aaron Taylor-Johnson| Nicolas Cage| Chloë Grace Moretz| Garrett M. Brown
221;Hardcore Henry;Action,Adventure,Sci-Fi;Sharlto Copley| Tim Roth| Haley Bennett| Danila Kozlovsky
222;Cars;Animation,Adventure,Comedy;Owen Wilson| Bonnie Hunt| Paul Newman| Larry the Cable Guy
223;It Follows;Horror,Mystery;Maika Monroe| Keir Gilchrist| Olivia Luccardi|Lili Sepe
224;The Girl with the Dragon Tattoo;Crime,Drama,Mystery;Daniel Craig| Rooney Mara| Christopher Plummer|Stellan Skarsgård
225;We're the Millers;Comedy,Crime;Jason Sudeikis| Jennifer Aniston| Emma Roberts| Ed Helms
226;American Honey;Drama;Sasha Lane| Shia LaBeouf| Riley Keough| McCaul Lombardi
227;The Lobster;Comedy,Drama,Romance;Colin Farrell| Rachel Weisz| Jessica Barden|Olivia Colman
228;Predators;Action,Adventure,Sci-Fi;Adrien Brody| Laurence Fishburne| Topher Grace|Alice Braga
229;Maleficent;Action,Adventure,Family;Angelina Jolie| Elle Fanning| Sharlto Copley|Lesley Manville
230;Rupture;Horror,Sci-Fi,Thriller;Noomi Rapace| Michael Chiklis| Kerry Bishé|Peter Stormare
231;Pan's Labyrinth;Drama,Fantasy,War;Ivana Baquero| Ariadna Gil| Sergi López|Maribel Verdú
232;A Kind of Murder;Crime,Drama,Thriller;Patrick Wilson| Jessica Biel| Haley Bennett| Vincent Kartheiser
233;Apocalypto;Action,Adventure,Drama;Gerardo Taracena| Raoul Max Trujillo| Dalia Hernández|Rudy Youngblood
234;Mission: Impossible - Rogue Nation;Action,Adventure,Thriller;Tom Cruise| Rebecca Ferguson| Jeremy Renner| Simon Pegg
235;The Huntsman: Winter's War;Action,Adventure,Drama;Chris Hemsworth| Jessica Chastain| Charlize Theron| Emily Blunt
236;The Perks of Being a Wallflower;Drama,Romance;Logan Lerman| Emma Watson| Ezra Miller| Paul Rudd
237;Jackie;Biography,Drama,History;Natalie Portman| Peter Sarsgaard| Greta Gerwig|Billy Crudup
238;The Disappointments Room;Drama,Horror,Thriller;Kate Beckinsale| Mel Raido| Duncan Joiner| Lucas Till
239;The Grand Budapest Hotel;Adventure,Comedy,Drama;Ralph Fiennes| F. Murray Abraham| Mathieu Amalric|Adrien Brody
240;The Host;Action,Adventure,Romance;Saoirse Ronan| Max Irons| Jake Abel| Diane Kruger
241;Fury;Action,Drama,War;Brad Pitt| Shia LaBeouf| Logan Lerman| Michael Peña
242;Inside Out;Animation,Adventure,Comedy;Amy Poehler| Bill Hader| Lewis Black| Mindy Kaling
243;Rock Dog;Animation,Adventure,Comedy;Luke Wilson| Eddie Izzard| J.K. Simmons| Lewis Black
